IES,TIPO DE IES,TIPO DE GESTION,DEPARTAMENTO/REGION,SEDE (DISTRITO),PROGRAMA ACADEMICO,MODALIDAD
1,EESP PUBLICA AREQUIPA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,CAYMA,EDUCACION INICIAL
2,EESP PUBLICA AREQUIPA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,CAYMA,EDUCACION PRIMARIA
3,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,EDUCACION FISICA
4,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,EDUCACION INICIAL
5,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,EDUCACION PRIMARIA
6,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,"EDUCACION SECUNDARIA - ESPECIALIDAD CIENCIA, TECNOLOGIA Y AMBIENTE"
7,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,EDUCACION SECUNDARIA - ESPECIALIDAD CIENCIAS SOCIALES
8,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,"EDUCACION SECUNDARIA, ESPECIALIDAD COMUNICACION"
9,EESP PUBLICA ARISTIDES MERINO MERINO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CELENDIN,"EDUCACION SECUNDARIA, ESPECIALIDAD MATEMATICA"
10,EESP PUBLICA BILINGÜE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,UCAYALI,YARINACOCHA,EDUCACION INICIAL INTERCULTURAL BILINGÜE
11,EESP PUBLICA BILINGÜE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,UCAYALI,YARINACOCHA,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
12,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,EDUCACION FISICA
13,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,EDUCACION INICIAL
14,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,EDUCACION INICIAL INTERCULTURAL BILINGÜE
15,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
16,EESP PUBLICA CESAR ABRAHAM VALLEJO MENDOZA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AMAZONAS,BAGUA,"EDUCACION SECUNDARIA, ESPECIALIDAD: MATEMATICA"
17,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,EDUCACION FISICA
18,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,EDUCACION INICIAL
19,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,EDUCACION PRIMARIA
20,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIA TECNOLOGIA Y AMBIENTE"
21,EESP PUBLICA CHIMBOTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,NUEVO CHIMBOTE,"IDIOMAS, ESPECIALIDAD: INGLES"
22,EESP PUBLICA DAVID SANCHEZ INFANTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LA LIBERTAD,SAN PEDRO DE LLOC,EDUCACION INICIAL
23,EESP PUBLICA DAVID SANCHEZ INFANTE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LA LIBERTAD,SAN PEDRO DE LLOC,EDUCACION PRIMARIA
24,EESP PUBLICA EMILIA BARCIA BONIFFATTI,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LIMA,CERCADO DE LIMA,EDUCACION INICIAL
25,EESP PUBLICA GAMANIEL BLANCO MURILLO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,PASCO,YANACANCHA,EDUCACION INICIAL
26,EESP PUBLICA GAMANIEL BLANCO MURILLO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,PASCO,YANACANCHA,EDUCACION PRIMARIA
27,EESP PUBLICA GAMANIEL BLANCO MURILLO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,PASCO,YANACANCHA,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
28,EESP PUBLICA GENERALISIMO JOSE DE SAN MARTIN,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,SAN MARTIN,MOYOBAMBA,EDUCACION FISICA
29,EESP PUBLICA GENERALISIMO JOSE DE SAN MARTIN,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,SAN MARTIN,MOYOBAMBA,EDUCACION INICIAL
30,EESP PUBLICA GENERALISIMO JOSE DE SAN MARTIN,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,SAN MARTIN,MOYOBAMBA,EDUCACION PRIMARIA
31,EESP PUBLICA GENERALISIMO JOSE DE SAN MARTIN,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,SAN MARTIN,MOYOBAMBA,"EDUCACION SECUNDARIA, ESPECIALIDAD: MATEMATICA"
32,EESP PUBLICA GENERALISIMO JOSE DE SAN MARTIN,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,SAN MARTIN,MOYOBAMBA,"IDIOMAS, ESPECIALIDAD: INGLES"
33,EESP PUBLICA GREGORIA SANTOS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,SICUANI,"EDUCACION EN IDIOMAS, ESPECIALIDAD INGLES"
34,EESP PUBLICA GREGORIA SANTOS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,SICUANI,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
35,EESP PUBLICA IGNACIO AMADEO RAMOS OLIVERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,YUNGAY,"EDUCACION EN IDIOMAS, ESPECIALIDAD INGLES"
36,EESP PUBLICA IGNACIO AMADEO RAMOS OLIVERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,YUNGAY,EDUCACION FISICA
37,EESP PUBLICA IGNACIO AMADEO RAMOS OLIVERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,YUNGAY,EDUCACION INICIAL
38,EESP PUBLICA IGNACIO AMADEO RAMOS OLIVERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,YUNGAY,EDUCACION INICIAL INTERCULTURAL BILINGÜE
39,EESP PUBLICA IGNACIO AMADEO RAMOS OLIVERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,YUNGAY,EDUCACION PRIMARIA
40,EESP PUBLICA IGNACIO AMADEO RAMOS OLIVERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ANCASH,YUNGAY,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
41,EESP PUBLICA INDOAMERICA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LA LIBERTAD,TRUJILLO,EDUCACION INICIAL
42,EESP PUBLICA INDOAMERICA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LA LIBERTAD,TRUJILLO,EDUCACION PRIMARIA
43,EESP PUBLICA JOSE JIMENEZ BORJA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,TACNA,TACNA,EDUCACION INICIAL
44,EESP PUBLICA JOSE JIMENEZ BORJA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,TACNA,TACNA,EDUCACION PRIMARIA
45,EESP PUBLICA JOSE SALVADOR CAVERO OVALLE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,HUANTA,EDUCACION FISICA
46,EESP PUBLICA JOSE SALVADOR CAVERO OVALLE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,HUANTA,EDUCACION INICIAL INTERCULTURAL BILINGÜE
47,EESP PUBLICA JOSE SALVADOR CAVERO OVALLE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,HUANTA,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
48,EESP PUBLICA JULIACA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,PUNO,SAN MIGUEL,EDUCACION INICIAL
49,EESP PUBLICA JULIACA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,PUNO,SAN MIGUEL,EDUCACION PRIMARIA
50,EESP PUBLICA LA INMACULADA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,SAMUEL PASTOR,"EDUCACION EN IDIOMAS, ESPECIALIDAD INGLES"
51,EESP PUBLICA LA INMACULADA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,SAMUEL PASTOR,EDUCACION FISICA
52,EESP PUBLICA LA INMACULADA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,SAMUEL PASTOR,EDUCACION INICIAL
53,EESP PUBLICA LA INMACULADA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,SAMUEL PASTOR,EDUCACION PRIMARIA
54,EESP PUBLICA LA INMACULADA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,SAMUEL PASTOR,EDUCACION RELIGIOSA
55,EESP PUBLICA LA INMACULADA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,SAMUEL PASTOR,"EDUCACION SECUNDARIA, ESPECIALIDAD CIENCIA, TECNOLOGIA Y AMBIENTE"
56,EESP PUBLICA LA INMACULADA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,SAMUEL PASTOR,"EDUCACION SECUNDARIA, ESPECIALIDAD COMUNICACION"
57,EESP PUBLICA LA INMACULADA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AREQUIPA,SAMUEL PASTOR,"EDUCACION SECUNDARIA, ESPECIALIDAD MATEMATICA"
58,EESP PUBLICA LA SALLE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,URUBAMBA,"EDUCACION EN IDIOMAS, ESPECIALIDAD INGLES"
59,EESP PUBLICA LA SALLE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,URUBAMBA,EDUCACION FISICA
60,EESP PUBLICA LA SALLE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,URUBAMBA,EDUCACION INICIAL
61,EESP PUBLICA LA SALLE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,URUBAMBA,EDUCACION INICIAL INTERCULTURAL BILINGÜE
62,EESP PUBLICA LA SALLE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,URUBAMBA,EDUCACION PRIMARIA
63,EESP PUBLICA LA SALLE,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,URUBAMBA,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
64,EESP PUBLICA LA SALLE - DE ABANCAY,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,APURIMAC,ABANCAY,EDUCACION FISICA
65,EESP PUBLICA LA SALLE - DE ABANCAY,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,APURIMAC,ABANCAY,EDUCACION INICIAL
66,EESP PUBLICA LA SALLE - DE ABANCAY,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,APURIMAC,ABANCAY,EDUCACION INICIAL INTERCULTURAL BILINGÜE
67,EESP PUBLICA LA SALLE - DE ABANCAY,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,APURIMAC,ABANCAY,EDUCACION PRIMARIA
68,EESP PUBLICA LA SALLE - DE ABANCAY,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,APURIMAC,ABANCAY,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
69,EESP PUBLICA LA SALLE - DE ABANCAY,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,APURIMAC,ABANCAY,"EDUCACION SECUNDARIA, ESPECIALIDAD COMUNICACION"
70,EESP PUBLICA LA SALLE - DE ABANCAY,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,APURIMAC,ABANCAY,"EDUCACION SECUNDARIA, ESPECIALIDAD MATEMATICA"
71,EESP PUBLICA LA SALLE - DE ABANCAY,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,APURIMAC,ABANCAY,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIA, TECNOLOGIA Y AMBIENTE"
72,EESP PUBLICA LA SALLE - DE ABANCAY,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,APURIMAC,ABANCAY,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIAS SOCIALES"
73,EESP PUBLICA LAMAS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,SAN MARTIN,LAMAS,EDUCACION FISICA
74,EESP PUBLICA LAMAS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,SAN MARTIN,LAMAS,EDUCACION INICIAL
75,EESP PUBLICA LAMAS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,SAN MARTIN,LAMAS,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
76,EESP PUBLICA LORETO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,IQUITOS,EDUCACION INICIAL
77,EESP PUBLICA LORETO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,IQUITOS,EDUCACION INICIAL INTERCULTURAL BILINGÜE
78,EESP PUBLICA LORETO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,IQUITOS,EDUCACION PRIMARIA
79,EESP PUBLICA LORETO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,IQUITOS,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
80,EESP PUBLICA LORETO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,IQUITOS,"EDUCACION SECUNDARIA, ESPECIALIDAD COMUNICACION"
81,EESP PUBLICA LORETO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,IQUITOS,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIA, TECNOLOGIA Y AMBIENTE"
82,EESP PUBLICA MARCOS DURAN MARTEL,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,HUANUCO,AMARILIS,EDUCACION INICIAL
83,EESP PUBLICA MARCOS DURAN MARTEL,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,HUANUCO,AMARILIS,EDUCACION PRIMARIA
84,EESP PUBLICA MERCEDES CABELLO DE CARBONERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,MOQUEGUA,MOQUEGUA,EDUCACION FISICA
85,EESP PUBLICA MERCEDES CABELLO DE CARBONERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,MOQUEGUA,MOQUEGUA,EDUCACION INICIAL
86,EESP PUBLICA MERCEDES CABELLO DE CARBONERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,MOQUEGUA,MOQUEGUA,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIA TECNOLOGIA Y AMBIENTE"
87,EESP PUBLICA MERCEDES CABELLO DE CARBONERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,MOQUEGUA,MOQUEGUA,"EDUCACION SECUNDARIA, ESPECIALIDAD: COMUNICACION"
88,EESP PUBLICA MERCEDES CABELLO DE CARBONERA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,MOQUEGUA,MOQUEGUA,"IDIOMAS, ESPECIALIDAD: INGLES"
89,EESP PUBLICA MONSEÑOR ELIAS OLAZAR,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,YURIMAGUAS,EDUCACION INICIAL INTERCULTURAL BILINGÜE
90,EESP PUBLICA MONSEÑOR ELIAS OLAZAR,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,YURIMAGUAS,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
91,EESP PUBLICA MONSEÑOR ELIAS OLAZAR,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,YURIMAGUAS,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIA TECNOLOGIA Y AMBIENTE"
92,EESP PUBLICA MONSEÑOR ELIAS OLAZAR,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,YURIMAGUAS,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIAS SOCIALES"
93,EESP PUBLICA MONSEÑOR ELIAS OLAZAR,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LORETO,YURIMAGUAS,"EDUCACION SECUNDARIA, ESPECIALIDAD: COMUNICACION"
94,EESP PUBLICA MONSEÑOR FRANCISCO GONZALES BURGA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LAMBAYEQUE,FERREÑAFE,EDUCACION PRIMARIA
95,EESP PUBLICA MONSEÑOR FRANCISCO GONZALES BURGA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LAMBAYEQUE,FERREÑAFE,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
96,EESP PUBLICA MONSEÑOR FRANCISCO GONZALES BURGA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LAMBAYEQUE,FERREÑAFE,"EDUCACION SECUNDARIA ESPECIALIDAD CIENCIA, TECNOLOGIA Y AMBIENTE"
97,EESP PUBLICA MONSEÑOR FRANCISCO GONZALES BURGA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LAMBAYEQUE,FERREÑAFE,"EDUCACION SECUNDARIA, ESPECIALIDAD MATEMATICA"
98,EESP PUBLICA MONTERRICO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LIMA,SANTIAGO DE SURCO,EDUCACION INICIAL
99,EESP PUBLICA MONTERRICO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LIMA,SANTIAGO DE SURCO,EDUCACION PRIMARIA
100,EESP PUBLICA NUESTRA SEÑORA DE CHOTA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CHOTA,"EDUCACION EN IDIOMAS, ESPECIALIDAD INGLES"
101,EESP PUBLICA NUESTRA SEÑORA DE CHOTA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CHOTA,EDUCACION FISICA
102,EESP PUBLICA NUESTRA SEÑORA DE CHOTA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CHOTA,EDUCACION INICIAL
103,EESP PUBLICA NUESTRA SEÑORA DE CHOTA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CHOTA,EDUCACION PRIMARIA
104,EESP PUBLICA NUESTRA SEÑORA DE CHOTA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CHOTA,EDUCACION RELIGIOSA
105,EESP PUBLICA NUESTRA SEÑORA DE CHOTA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CHOTA,"EDUCACION SECUNDARIA, ESPECIALIDAD COMUNICACION"
106,EESP PUBLICA NUESTRA SEÑORA DE CHOTA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CAJAMARCA,CHOTA,"EDUCACION SECUNDARIA, ESPECIALIDAD MATEMATICA"
107,EESP PUBLICA NUESTRA SEÑORA DE LOURDES,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,ANDRES AVELINO CACERES DORREGARAY,"EDUCACION EN IDIOMAS, ESPECIALIDAD INGLES"
108,EESP PUBLICA NUESTRA SEÑORA DE LOURDES,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,ANDRES AVELINO CACERES DORREGARAY,EDUCACION FISICA
109,EESP PUBLICA NUESTRA SEÑORA DE LOURDES,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,ANDRES AVELINO CACERES DORREGARAY,EDUCACION INICIAL INTERCULTURAL BILINGÜE
110,EESP PUBLICA NUESTRA SEÑORA DE LOURDES,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,ANDRES AVELINO CACERES DORREGARAY,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
111,EESP PUBLICA NUESTRA SEÑORA DE LOURDES,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,AYACUCHO,EDUCACION FISICA
112,EESP PUBLICA NUESTRA SEÑORA DE LOURDES,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,AYACUCHO,EDUCACION INICIAL INTERCULTURAL BILINGÜE
113,EESP PUBLICA NUESTRA SEÑORA DE LOURDES,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,AYACUCHO,EDUCACION PRIMARIA INTERCULTURAL BILINGÜE
114,EESP PUBLICA NUESTRA SEÑORA DE LOURDES,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,AYACUCHO,AYACUCHO,"IDIOMAS, ESPECIALIDAD: INGLES"
115,EESP PUBLICA NUESTRA SEÑORA DEL ROSARIO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,MADRE DE DIOS,TAMBOPATA,EDUCACION FISICA
116,EESP PUBLICA NUESTRA SEÑORA DEL ROSARIO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,MADRE DE DIOS,TAMBOPATA,EDUCACION INICIAL
117,EESP PUBLICA NUESTRA SEÑORA DEL ROSARIO,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,MADRE DE DIOS,TAMBOPATA,EDUCACION PRIMARIA
118,EESP PUBLICA PIURA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,PIURA,VEINTISEIS DE OCTUBRE,EDUCACION INICIAL
119,EESP PUBLICA PIURA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,PIURA,VEINTISEIS DE OCTUBRE,EDUCACION PRIMARIA
120,EESP PUBLICA SAN FRANCISCO DE ASIS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ICA,CHINCHA ALTA,"EDUCACION EN IDIOMAS, ESPECIALIDAD INGLES"
121,EESP PUBLICA SAN FRANCISCO DE ASIS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ICA,CHINCHA ALTA,EDUCACION FISICA
122,EESP PUBLICA SAN FRANCISCO DE ASIS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ICA,CHINCHA ALTA,EDUCACION INICIAL
123,EESP PUBLICA SAN FRANCISCO DE ASIS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ICA,CHINCHA ALTA,EDUCACION PRIMARIA
124,EESP PUBLICA SAN FRANCISCO DE ASIS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ICA,CHINCHA ALTA,"EDUCACION SECUNDARIA, ESPECIALIDAD COMUNICACION"
125,EESP PUBLICA SAN FRANCISCO DE ASIS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ICA,CHINCHA ALTA,"EDUCACION SECUNDARIA, ESPECIALIDAD MATEMATICA"
126,EESP PUBLICA SAN FRANCISCO DE ASIS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ICA,CHINCHA ALTA,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIA, TECNOLOGIA Y AMBIENTE"
127,EESP PUBLICA SAN FRANCISCO DE ASIS,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,ICA,CHINCHA ALTA,"EDUCACION SECUNDARIA, ESPECIALIDAD: CIENCIAS SOCIALES"
128,EESP PUBLICA SAN JOSEMARIA ESCRIVA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LIMA,SAN VICENTE DE CAÑETE,EDUCACION FISICA
129,EESP PUBLICA SAN JOSEMARIA ESCRIVA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LIMA,SAN VICENTE DE CAÑETE,EDUCACION INICIAL
130,EESP PUBLICA SAN JOSEMARIA ESCRIVA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,LIMA,SAN VICENTE DE CAÑETE,"IDIOMAS, ESPECIALIDAD: INGLES"
131,EESP PUBLICA SANTA ROSA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,CUSCO,EDUCACION INICIAL
132,EESP PUBLICA SANTA ROSA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,CUSCO,EDUCACION PRIMARIA
133,EESP PUBLICA SANTA ROSA,ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA,PUBLICA,CUSCO,CUSCO,"EDUCACION SECUNDARIA, ESPECIALIDAD COMUNICACION"
